observation_date,CPIAUCSL
2004-01-01,186.300
2004-02-01,186.700
2004-03-01,187.100
2004-04-01,187.400
2004-05-01,188.200
2004-06-01,188.900
2004-07-01,189.100
2004-08-01,189.200
2004-09-01,189.800
2004-10-01,190.800
2004-11-01,191.700
2004-12-01,191.700
2005-01-01,191.600
2005-02-01,192.400
2005-03-01,193.100
2005-04-01,193.700
2005-05-01,193.600
2005-06-01,193.700
2005-07-01,194.900
2005-08-01,196.100
2005-09-01,198.800
2005-10-01,199.100
2005-11-01,198.100
2005-12-01,198.100
2006-01-01,199.300
2006-02-01,199.400
2006-03-01,199.700
2006-04-01,200.700
2006-05-01,201.300
2006-06-01,201.800
2006-07-01,202.900
2006-08-01,203.800
2006-09-01,202.800
2006-10-01,201.900
2006-11-01,202.000
2006-12-01,203.100
2007-01-01,203.437
2007-02-01,204.226
2007-03-01,205.288
2007-04-01,205.904
2007-05-01,206.755
2007-06-01,207.234
2007-07-01,207.603
2007-08-01,207.667
2007-09-01,208.547
2007-10-01,209.190
2007-11-01,210.834
2007-12-01,211.445
2008-01-01,212.174
2008-02-01,212.687
2008-03-01,213.448
2008-04-01,213.942
2008-05-01,215.208
2008-06-01,217.463
2008-07-01,219.016
2008-08-01,218.690
2008-09-01,218.877
2008-10-01,216.995
2008-11-01,213.153
2008-12-01,211.398
2009-01-01,211.933
2009-02-01,212.705
2009-03-01,212.495
2009-04-01,212.709
2009-05-01,213.022
2009-06-01,214.790
2009-07-01,214.726
2009-08-01,215.445
2009-09-01,215.861
2009-10-01,216.509
2009-11-01,217.234
2009-12-01,217.347
2010-01-01,217.488
2010-02-01,217.281
2010-03-01,217.353
2010-04-01,217.403
2010-05-01,217.290
2010-06-01,217.199
2010-07-01,217.605
2010-08-01,217.923
2010-09-01,218.275
2010-10-01,219.035
2010-11-01,219.590
2010-12-01,220.472
2011-01-01,221.148
2011-02-01,221.904
2011-03-01,223.044
2011-04-01,224.060
2011-05-01,224.869
2011-06-01,224.841
2011-07-01,225.419
2011-08-01,226.082
2011-09-01,226.676
2011-10-01,226.811
2011-11-01,227.157
2011-12-01,227.145
2012-01-01,227.759
2012-02-01,228.285
2012-03-01,228.866
2012-04-01,229.172
2012-05-01,228.785
2012-06-01,228.626
2012-07-01,228.584
2012-08-01,229.911
2012-09-01,231.104
2012-10-01,231.741
2012-11-01,231.202
2012-12-01,231.165
2013-01-01,231.444
2013-02-01,232.803
2013-03-01,232.245
2013-04-01,231.672
2013-05-01,231.990
2013-06-01,232.583
2013-07-01,232.980
2013-08-01,233.413
2013-09-01,233.773
2013-10-01,233.903
2013-11-01,234.038
2013-12-01,234.697
2014-01-01,235.128
2014-02-01,235.356
2014-03-01,235.790
2014-04-01,236.240
2014-05-01,236.950
2014-06-01,237.348
2014-07-01,237.596
2014-08-01,237.409
2014-09-01,237.626
2014-10-01,237.753
2014-11-01,237.067
2014-12-01,236.284
2015-01-01,234.677
2015-02-01,235.186
2015-03-01,235.740
2015-04-01,235.982
2015-05-01,237.031
