at_mcccode,at_categoryid2,mcc_grp_jpmci,category_description,at_creditdebitindicator,n,dollars
742,21002,profperslsvcs_main            ,Medical Services,D,4556,-525615.14
763,20024,profperslsvcs_main            ,Agricultural Cooperative,D,301,-14221.34
780,21003,profperslsvcs_main            ,Contractors,D,648,-55810.86
1520,21003,profperslsvcs_home            ,Contractors,D,123,-21592.79
1711,21003,profperslsvcs_home            ,Contractors,D,280,-52733.62
1731,21003,profperslsvcs_home            ,Contractors,D,27,-4515.12
1740,21003,profperslsvcs_home            ,Contractors,D,26,-9200.99
1761,21003,profperslsvcs_home            ,Contractors,D,24,-28464.39
1771,21003,profperslsvcs_home            ,Contractors,D,21,-10465.43
1799,21003,profperslsvcs_home            ,Contractors,D,242,-51236.5
2741,21011,profperslsvcs_main            ,Professional Services,D,706,-37894.67
2791,21011,profperslsvcs_main            ,Professional Services,D,13,-822.53
2842,21003,profperslsvcs_main            ,Contractors,D,78,-10297.49
3000,20010,travel_air                    ,Aerial Transportation,D,1302,-207868.68
3001,20010,travel_air                    ,Aerial Transportation,D,1163,-198237.94
3005,20010,travel_air                    ,Aerial Transportation,D,19,-10706.07
3007,20010,travel_air                    ,Aerial Transportation,D,18,-16000.5
3008,20010,travel_air                    ,Aerial Transportation,D,12,-9822.54
3009,20010,travel_air                    ,Aerial Transportation,D,24,-6585.46
3022,20010,travel_air                    ,Aerial Transportation,D,17,-18128.34
3039,20010,travel_air                    ,Aerial Transportation,D,36,-17214.07
3047,20010,travel_air                    ,Aerial Transportation,D,15,-11514
3052,20010,travel_air                    ,Aerial Transportation,D,10,-4799.43
3057,20010,travel_air                    ,Aerial Transportation,D,112,-12895.54
3058,20010,travel_air                    ,Aerial Transportation,D,1150,-151714.37
3063,20010,travel_air                    ,Aerial Transportation,D,371,-63609.33
3066,20010,travel_air                    ,Aerial Transportation,D,927,-180599.69
3076,20010,travel_air                    ,Aerial Transportation,D,23,-5603.97
3132,20010,travel_air                    ,Aerial Transportation,D,240,-28079.51
3174,20010,travel_air                    ,Aerial Transportation,D,620,-129535.81
3196,20010,travel_air                    ,Aerial Transportation,D,80,-13313.44
3211,20010,travel_air                    ,Aerial Transportation,D,14,-4569.55
3234,20010,travel_air                    ,Aerial Transportation,D,15,-7868.08
3245,20010,travel_air                    ,Aerial Transportation,D,12,-1856.66
3256,20010,travel_air                    ,Aerial Transportation,D,246,-33382.29
3260,20010,travel_air                    ,Aerial Transportation,D,427,-66200.34
3357,20008,travel_auto                   ,Car Dealer / Car Rental,D,194,-39715.96
3366,20008,travel_auto                   ,Car Dealer / Car Rental,D,76,-18464.8
3387,20008,travel_auto                   ,Car Dealer / Car Rental,D,31,-6632.85
3389,20008,travel_auto                   ,Car Dealer / Car Rental,D,87,-16158.43
3390,20008,travel_auto                   ,Car Dealer / Car Rental,D,41,-9490.82
3393,20008,travel_auto                   ,Car Dealer / Car Rental,D,30,-5148.62
3395,20008,travel_auto                   ,Car Dealer / Car Rental,D,26,-4566.83
3405,20008,travel_auto                   ,Car Dealer / Car Rental,D,669,-108394.77
3441,20008,travel_auto                   ,Car Dealer / Car Rental,D,15,-4490.75
3501,20002,travel_lodging                ,Hotel / Motel,D,297,-46311.42
3502,20002,travel_lodging                ,Hotel / Motel,D,234,-34770.99
3503,20002,travel_lodging                ,Hotel / Motel,D,114,-15568.6
3504,20002,travel_lodging                ,Hotel / Motel,D,200,-41223.29
3508,20002,travel_lodging                ,Hotel / Motel,D,146,-17570.07
