MCC,mcc_grp_jpmci,MCC Merchant Type,CE Survey Category,PCE Category,pce_1,pce_2,pce_3,pce_4,Comment on CE,Comment on PCE
742,profperslsvcs_main,Veterinary Services,"Pets, toys, hobbies, and playground equipment",Recreation - Other,59,124,225,227,,
763,profperslsvcs_main,Agricultural Co-operatives,Food at home,Food and nonalcoholic beverages purchased for off-premises consumption,72,0,0,0,treat as food at home,treat as food at home
780,profperslsvcs_main,"Horticultural Services, Landscaping Services",Household furnishings and equipment,Furnishings and durable household equipment,21,0,0,0,,
1520,profperslsvcs_home,General Contractors-Residential and Commercial,Owned and rented dwellings,Housing,151,0,0,0,expenses for repairs and maintence contracted out,
1711,profperslsvcs_home,"Air Conditioning Contractors - Sales and Installation, Heating Contractors - Sales, Service, Installation","Utilities, fuels, and public services",Household utilities,115,161,0,0,tural gas,tural gas
1731,profperslsvcs_home,Electrical Contractors,"Utilities, fuels, and public services",Household utilities,115,161,0,0,,
1740,profperslsvcs_home,"Insulation - Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Household furnishings and equipment,Household maintenance,321,0,0,0,,
1750,profperslsvcs_home,Carpentry Contractors,Household furnishings and equipment,Household maintenance,321,0,0,0,,
1761,profperslsvcs_home,"Roofing - Contractors, Sheet Metal Work - Contractors, Siding - Contractors",Household furnishings and equipment,Household maintenance,321,0,0,0,,
1771,profperslsvcs_home,Contractors - Concrete Work,Household furnishings and equipment,Household maintenance,321,0,0,0,,
1799,profperslsvcs_home,"Contractors - Special Trade, Not Elsewhere Classified",Owned and rented dwellings,Housing,151,0,0,0,same as row 5,same as row 5
2741,profperslsvcs_main,Miscellaneous Publishing and Printing,Housekeeping supplies,"Video, audio, photographic, and information processing equipment, media, and services",37,214,0,0,,information processing
2791,profperslsvcs_main,"Typesetting, Plate Making, & Related Services","Other entertainment supplies, equipment, and services",Professional and other services,292,0,0,0,,
2842,profperslsvcs_main,"Specialty Cleaning, Polishing, and Sanitation Preparations",Housekeeping supplies,Household utilities,115,161,0,0,,"if cleaning supplies, ""supplies""; if cleaning services, ""utilities"""
3000,travel_air,UNITED AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3001,travel_air,AMERICAN AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3004,travel_air,TRANS WORLD AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3005,travel_air,BRITISH AIRWAYS,Public and other transportation,Public transportation (air),203,0,0,0,,
3006,travel_air,JAPAN AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3007,travel_air,AIR FRANCE,Public and other transportation,Public transportation (air),203,0,0,0,,
3008,travel_air,LUFTHANSA,Public and other transportation,Public transportation (air),203,0,0,0,,
3009,travel_air,AIR CANADA,Public and other transportation,Public transportation (air),203,0,0,0,,
3010,travel_air,KLM (ROYAL DUTCH AIRLINES),Public and other transportation,Public transportation (air),203,0,0,0,,
3011,travel_air,AEORFLOT,Public and other transportation,Public transportation (air),203,0,0,0,,
3012,travel_air,QUANTAS,Public and other transportation,Public transportation (air),203,0,0,0,,
3013,travel_air,ALITALIA,Public and other transportation,Public transportation (air),203,0,0,0,,
3014,travel_air,SAUDIA ARABIAN AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3015,travel_air,SWISSAIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3016,travel_air,SAS,Public and other transportation,Public transportation (air),203,0,0,0,,
3017,travel_air,SOUTH AFRICAN AIRWAYS,Public and other transportation,Public transportation (air),203,0,0,0,,
3018,travel_air,VARIG (BRAZIL),Public and other transportation,Public transportation (air),203,0,0,0,,
3020,travel_air,AIR-INDIA,Public and other transportation,Public transportation (air),203,0,0,0,,
3022,travel_air,PHILIPPINE AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3025,travel_air,AIR NEW ZEALAND,Public and other transportation,Public transportation (air),203,0,0,0,,
3026,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3028,travel_air,AIR MALTA,Public and other transportation,Public transportation (air),203,0,0,0,,
3029,travel_air,SABENA,Public and other transportation,Public transportation (air),203,0,0,0,,
3030,travel_air,AEROLINEAS ARGENTINAS,Public and other transportation,Public transportation (air),203,0,0,0,,
3032,travel_air,EL AL,Public and other transportation,Public transportation (air),203,0,0,0,,
3033,travel_air,ANSETT AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3034,travel_air,AUSTRAINLIAN AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3035,travel_air,TAP (PORTUGAL),Public and other transportation,Public transportation (air),203,0,0,0,,
3037,travel_air,EGYPTAIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3038,travel_air,KUWAIT AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3039,travel_air,AVIANCA,Public and other transportation,Public transportation (air),203,0,0,0,,
3040,travel_air,GULF AIR (BAHRAIN),Public and other transportation,Public transportation (air),203,0,0,0,,
3042,travel_air,FINNAIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3043,travel_air,AER LINGUS,Public and other transportation,Public transportation (air),203,0,0,0,,
3044,travel_air,AIR LANKA,Public and other transportation,Public transportation (air),203,0,0,0,,
3047,travel_air,THY (TURKEY),Public and other transportation,Public transportation (air),203,0,0,0,,
3048,travel_air,ROYAL AIR MAROC,Public and other transportation,Public transportation (air),203,0,0,0,,
3050,travel_air,ICELANDAIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3051,travel_air,AUSTRIAN AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3052,travel_air,LANCHILE,Public and other transportation,Public transportation (air),203,0,0,0,,
3056,travel_air,QUEBECAIRE,Public and other transportation,Public transportation (air),203,0,0,0,,
3057,travel_air,EASTWEST AIRLINES (AUSTRALIA),Public and other transportation,Public transportation (air),203,0,0,0,,
3058,travel_air,DELTA,Public and other transportation,Public transportation (air),203,0,0,0,,
3061,travel_air,CONTINENTAL,Public and other transportation,Public transportation (air),203,0,0,0,,
3063,travel_air,US AIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3064,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3066,travel_air,SOUTHWEST,Public and other transportation,Public transportation (air),203,0,0,0,,
3069,travel_air,SUN COUNTRY AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3072,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3075,travel_air,SINGAPORE AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3076,travel_air,AEROMEXICO,Public and other transportation,Public transportation (air),203,0,0,0,,
3077,travel_air,THAI AIRWAYS,Public and other transportation,Public transportation (air),203,0,0,0,,
3078,travel_air,CHINA AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3079,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3082,travel_air,KOREAN AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3084,travel_air,EVA AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3088,travel_air,CROATIA AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3089,travel_air,TRANSAERO,Public and other transportation,Public transportation (air),203,0,0,0,,
3096,travel_air,AIR ZIMBABWE,Public and other transportation,Public transportation (air),203,0,0,0,,
3098,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3099,travel_air,CATHAY PACIFIC,Public and other transportation,Public transportation (air),203,0,0,0,,
3102,travel_air,IBERIA,Public and other transportation,Public transportation (air),203,0,0,0,,
3127,travel_air,TACA INTERNATIONAL,Public and other transportation,Public transportation (air),203,0,0,0,,
3129,travel_air,SURINAM AIRWAYS,Public and other transportation,Public transportation (air),203,0,0,0,,
3132,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3136,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3144,travel_air,VIRGIN ATLANTIC,Public and other transportation,Public transportation (air),203,0,0,0,,
3161,travel_air,ALL NIPPON AIRWAYS,Public and other transportation,Public transportation (air),203,0,0,0,,
3174,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
