"Table 2.4.5U. Personal Consumption Expenditures by Type of Product"
"[Millions of dollars; quarters and months are seasonally adjusted at annual rates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 03, 2017 - Next Release Date August 31, 2017"
"Line"," ","Series Name","2014","2015","2016"
"1","            Personal consumption expenditures","DPCERC",11863669,12332257,12820694
"2","Goods","DGDSRC",3970453,4033158,4121418
"3","    Durable goods","DDURRC",1296383,1367137,1411006
"4","        Motor vehicles and parts","DMOTRC",441874,472169,480792
"5","            New motor vehicles (55)","DNMVRC",266287,277323,273386
"6","                New autos","DNEARC",94273,85219,75884
"7","                    New domestic autos","DNDCRC",66391,61484,55539
"8","                    New foreign autos","DNFCRC",27882,23735,20345
"9","                New light trucks","DNWTRC",172014,192103,197502
"10","            Net purchases of used motor vehicles (56)","DNPVRC",109905,125951,136389
"11","                Used autos","DNPURC",49652,56254,56553
"12","                    Net transactions in used autos","DNETRC",25336,30378,30855
"13","                    Used auto margin","DMARRC",26051,27611,27433
"14","                    Employee reimbursement","DREERC",-1735,-1735,-1735
"15","                Used light trucks","DUTRRC",60254,69697,79836
"16","                    Net transactions in used trucks","DUTNRC",42097,48119,55600
"17","                    Used truck margin","DUTMRC",18157,21578,24236
"18","            Motor vehicle parts and accessories (58)","DMVPRC",65682,68895,71017
"19","                Tires","DTATRC",26053,26638,27254
"20","                Accessories and parts","DPAARC",39629,42257,43763
"21","        Furnishings and durable household equipment","DFDHRC",294270,311516,325154
"22","            Furniture and furnishings (parts of 31 and 32)","DFFFRC",174773,187442,195855
"23","                Furniture","DFNRRC",100820,109638,114041
"24","                Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRC",37254,39012,40805
"25","                Carpets and other floor coverings","DFLRRC",22139,23393,24671
"26","                Window coverings","DWCTRC",14560,15399,16339
"27","            Household appliances (part of 33)","DAPPRC",46939,47984,48868
"28","                Major household appliances","DMHARC",40768,41591,42117
"29","                Small electric household appliances","DSEARC",6171,6393,6751
"30","            Glassware, tableware, and household utensils (34)","DUTERC",51336,54022,57283
"31","                Dishes and flatware","DCHNRC",23888,25109,26672
"32","                Nonelectric cookware and tableware","DNECRC",27448,28914,30610
"33","            Tools and equipment for house and garden (35)","DTOORC",21223,22068,23149
"34","                Tools, hardware, and supplies","DHDWRC",17278,17974,18871
"35","                Outdoor equipment and supplies","DLWNRC",3946,4094,4278
"36","        Recreational goods and vehicles","DREQRC",357404,372392,385474
"37","            Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC",213108,218403,224289
"38","                Video and audio equipment","DVAARC",102795,103034,103306
"39","                    Televisions","DTVSRC",37444,38275,39253
"40","                    Other video equipment","DOVARC",20014,20743,21624
"41","                    Audio equipment","DAUDRC",18389,18637,19577
"42","                    Recording media","DRECRC",26949,25378,22853
"43","                        Prerecorded and blank audio discs / tapes / digital files / downloads","DRTDRC",14606,12932,10489
"44","                        Video cassettes and discs, blank and prerecorded","DOVERC",12343,12446,12364
"45","                Photographic equipment","DCAMRC",4548,4603,4696
"46","                Information processing equipment","DIPERC",105765,110766,116287
"47","                    Personal computers and peripheral equipment","DCPPRC",54494,57500,60475
"48","                    Computer software and accessories","DCPSRC",49816,51617,53378
"49","                    Calculators, typewriters, and other information processing equipment","DOIPRC",1455,1649,2434
"50","            Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC",64042,69019,71781
"51","            Sports and recreational vehicles (79)","DWHLRC",47277,51055,52774
"52","                Motorcycles","DMCYRC",11304,11486,11138
"53","                Bicycles and accessories","DBCYRC",5004,5154,5192
"54","                Pleasure boats, aircraft, and other recreational vehicles","DBARRC",30969,34415,36444
"55","                    Pleasure boats","DBOARC",14224,16104,17294
"56","                    Pleasure aircraft","DAIRRC",1560,1782,2105
"57","                    Other recreational vehicles","DREVRC",15185,16529,17046
"58","            Recreational books (part of 90)","DRBKRC",27732,28326,30404
"59","            Musical instruments (part of 80)","DMSCRC",5245,5589,6226
"60","        Other durable goods","DODGRC",202835,211060,219586
"61","            Jewelry and watches (part of 119)","DJRYRC",78080,80597,85373
"62","                Jewelry","DJLYRC",68849,71074,75213
"63","                Watches","DWTCRC",9231,9523,10161
"64","            Therapeutic appliances and equipment (42)","DTAERC",65020,67660,70974
"65","                Therapeutic medical equipment","DTMERC",31066,32876,35694
"66","                Corrective eyeglasses and contact lenses","DEYERC",33954,34784,35280
"67","            Educational books (96)","DEBKRC",9628,9832,10551
"68","            Luggage and similar personal items (part of 119)","DLUGRC",32847,33926,34594
"69","            Telephone and facsimile equipment (67)","DTCERC",17261,19045,18093
"70","    Nondurable goods","DNDGRC",2674070,2666021,2710412
"71","        Food and beverages purchased for off-premises consumption","DFXARC",884403,898957,915074
"72","            Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC",755772,764747,775758
"73","                Food purchased for off-premises consumption","DFOFRC",670690,677677,686993
"74","                    Cereals and bakery products","DCBPRC",133628,136018,137502
"75","                        Cereals","DGRARC",43961,44569,45133
"76","                        Bakery products","DBAKRC",89667,91449,92369
"77","                    Meats and poultry","DMAPRC",145499,141318,141707
"78","                        Beef and veal","DBEERC",38126,37030,37132
"79","                        Pork","DPORRC",28784,27957,28034
"80","                        Other meats","DMEARC",30321,29449,29530
"81","                        Poultry","DPOURC",48269,46882,47010
"82","                    Fish and seafood","DFISRC",12371,12015,12048
"83","                    Milk, dairy products, and eggs","DMDERC",80595,81892,81380
"84","                        Fresh milk","DMILRC",25455,25774,25542
"85","                        Processed dairy products","DDAIRC",43764,44599,44423
"86","                        Eggs","DGGSRC",11376,11518,11415
"87","                    Fats and oils","DFATRC",17074,17310,17529
"88","                    Fresh fruits and vegetables","DFAVRC",81258,83665,84943
"89","                        Fruit (fresh)","DFRURC",34671,35698,36243
"90","                        Vegetables (fresh)","DVEGRC",46587,47967,48699
"91","                    Processed fruits and vegetables","DPFVRC",27671,28182,28561
"92","                    Sugar and sweets","DSWERC",42303,44091,46614
"93","                    Food products, not elsewhere classified","DOFDRC",130292,133187,136708
"94","                Nonalcoholic beverages purchased for off-premises consumption","DNBVRC",85082,87070,88765
"95","                    Coffee, tea, and other beverage materials","DCTMRC",10738,10886,11024
"96","                    Mineral waters, soft drinks, and vegetable juices","DJNBRC",74344,76184,77741
"97","            Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC",128041,133586,138673
"98","                Spirits","DLIQRC",29307,30608,31744
"99","                Wine","DWINRC",37325,39080,40749
"100","                Beer","DMLTRC",61410,63899,66181
"101","            Food produced and consumed on farms (6)","DFFDRC",589,623,643
