,long,lat,group,order,region,subregion,branch,branch_2
1,-87.46200562,30.38968086,1,1,alabama,NA,0,N
2,-114.6373901,35.0191803,2,204,arizona,NA,1,Y
3,-94.05102539,33.03674698,3,354,arkansas,NA,0,N
4,-120.006012,42.0092659,4,667,california,NA,0,N
5,-102.0552444,40.00964355,5,1184,colorado,NA,1,Y
6,-73.49902344,42.04937363,6,1264,connecticut,NA,0,N
7,-75.80231476,39.72889328,7,1356,delaware,NA,0,N
8,-77.13730621,38.94394302,8,1451,district of columbia,NA,0,N
9,-85.01548004,30.99701691,9,1462,florida,NA,1,Y
10,-80.8901825,32.03979874,10,2335,georgia,NA,1,Y
11,-117.0266342,42.0092659,11,2717,idaho,NA,1,Y
12,-90.641922,42.50774002,12,2951,illinois,NA,1,Y
13,-88.02350616,37.79229736,13,3281,indiana,NA,0,N
14,-91.22634125,43.49895477,14,3539,iowa,NA,0,N
15,-94.63543701,37.02453232,15,3796,kansas,NA,0,N
16,-82.56894684,38.42827988,16,3910,kentucky,NA,1,Y
17,-94.05102539,33.03674698,17,4308,louisiana,NA,1,Y
18,-70.73736572,43.08642578,18,4959,maine,NA,0,N
19,-77.71599579,39.32782364,19,5359,maryland,NA,0,N
20,-70.45088959,41.40192795,20,5926,massachusetts,martha's vineyard,0,N
21,-90.41273499,46.55855179,23,6215,michigan,north,1,Y
22,-96.42879486,43.49322891,25,7047,minnesota,NA,0,N
23,-88.18965912,34.99626541,26,7421,mississippi,NA,0,N
24,-95.75270844,40.61124802,27,7804,missouri,NA,0,N
25,-104.0491333,48.9993515,28,8120,montana,NA,0,N
26,-104.0605927,43.00621033,29,8359,nebraska,NA,0,N
27,-114.0415192,36.99588394,30,8568,nevada,NA,1,Y
28,-72.47342682,42.73119354,31,8639,new hampshire,NA,0,N
29,-74.72515869,41.36755371,32,8765,new jersey,NA,1,Y
30,-103.0063477,37.00161362,33,8971,new mexico,NA,0,N
31,-73.92874146,40.80605316,34,9050,new york,manhattan,1,Y
32,-75.89398956,36.55470657,38,9549,north carolina,knotts,0,N
33,-104.0491333,45.9397583,41,10334,north dakota,NA,0,N
34,-80.51776123,40.64562607,42,10440,ohio,NA,1,Y
35,-102.0495148,37.00161362,43,10679,oklahoma,NA,1,Y
36,-116.9292297,45.99705124,44,10964,oregon,NA,1,Y
37,-79.7671814,42.2613678,45,11201,pennsylvania,NA,0,N
38,-71.8431778,41.34463501,46,11374,rhode island,NA,0,N
39,-83.10752869,34.99053192,47,11441,south carolina,NA,0,N
40,-96.43452454,42.47336197,48,11746,south dakota,NA,0,N
41,-89.71945953,36.00466919,49,11913,tennessee,NA,0,N
42,-94.4979248,33.66699982,50,12203,texas,NA,1,Y
43,-114.0472488,42.00353622,51,13292,utah,NA,1,Y
44,-73.36151886,45.01156616,52,13352,vermont,NA,0,N
45,-75.64188385,37.96418381,53,13482,virginia,chesapeake,0,N
46,-123.0197678,48.56963348,56,14219,washington,san juan island,1,Y
47,-79.49789429,39.7231636,61,14769,west virginia,NA,1,Y
48,-87.80005646,42.50201035,62,15143,wisconsin,NA,1,Y
49,-109.0510635,40.99512863,63,15532,wyoming,NA,0,N
