"Source: Department of Labor, 2015 avg weekly benefits for each month at state level, https://workforcesecurity.doleta.gov/unemploy/claimssum.asp",,
Date,State,Weekly Benefits
1/31/15,Arizona,$224.55 
2/28/15,Arizona,$224.81 
3/31/15,Arizona,$223.79 
4/30/15,Arizona,$222.11 
5/31/15,Arizona,$221.85 
6/30/15,Arizona,$221.49 
7/31/15,Arizona,$220.31 
8/31/15,Arizona,$220.53 
9/30/15,Arizona,$221.82 
10/31/15,Arizona,$223.12 
11/30/15,Arizona,$224.15 
12/31/15,Arizona,$225.26 
1/31/15,Colorado,$371.97 
2/28/15,Colorado,$373.72 
3/31/15,Colorado,$380.37 
4/30/15,Colorado,$385.77 
5/31/15,Colorado,$389.27 
6/30/15,Colorado,$388.26 
7/31/15,Colorado,$389.51 
8/31/15,Colorado,$396.30 
9/30/15,Colorado,$404.30 
10/31/15,Colorado,$405.19 
11/30/15,Colorado,$401.51 
12/31/15,Colorado,$401.27 
1/31/15,Idaho,$297.94 
2/28/15,Idaho,$300.81 
3/31/15,Idaho,$297.98 
4/30/15,Idaho,$300.58 
5/31/15,Idaho,$298.15 
6/30/15,Idaho,$291.87 
7/31/15,Idaho,$287.06 
8/31/15,Idaho,$290.44 
9/30/15,Idaho,$299.45 
10/31/15,Idaho,$299.57 
11/30/15,Idaho,$300.28 
12/31/15,Idaho,$307.15 
1/31/15,Illinois,$342.91 
2/28/15,Illinois,$348.76 
3/31/15,Illinois,$348.72 
4/30/15,Illinois,$341.37 
5/31/15,Illinois,$335.62 
6/30/15,Illinois,$329.75 
7/31/15,Illinois,$323.24 
8/31/15,Illinois,$322.91 
9/30/15,Illinois,$333.94 
10/31/15,Illinois,$339.13 
11/30/15,Illinois,$339.44 
12/31/15,Illinois,$350.61 
1/31/15,Kentucky,$297.35 
2/28/15,Kentucky,$289.45 
3/31/15,Kentucky,$307.22 
4/30/15,Kentucky,$308.67 
5/31/15,Kentucky,$305.24 
6/30/15,Kentucky,$305.65 
7/31/15,Kentucky,$304.79 
8/31/15,Kentucky,$307.29 
9/30/15,Kentucky,$312.35 
10/31/15,Kentucky,$312.47 
11/30/15,Kentucky,$312.10 
12/31/15,Kentucky,$313.97 
1/31/15,Louisiana,$209.54 
2/28/15,Louisiana,$212.70 
3/31/15,Louisiana,$215.72 
4/30/15,Louisiana,$216.97 
5/31/15,Louisiana,$216.28 
6/30/15,Louisiana,$213.88 
7/31/15,Louisiana,$212.11 
8/31/15,Louisiana,$213.44 
9/30/15,Louisiana,$215.99 
10/31/15,Louisiana,$217.07 
11/30/15,Louisiana,$219.24 
12/31/15,Louisiana,$221.78 
1/31/15,New Jersey,$404.51 
2/28/15,New Jersey,$413.16 
3/31/15,New Jersey,$414.73 
4/30/15,New Jersey,$410.39 
5/31/15,New Jersey,$421.27 
6/30/15,New Jersey,$418.64 
7/31/15,New Jersey,$387.03 
8/31/15,New Jersey,$385.24 
9/30/15,New Jersey,$410.88 
10/31/15,New Jersey,$424.31 
11/30/15,New Jersey,$421.03 
12/31/15,New Jersey,$420.04 
1/31/15,Nevada,$317.15 
2/28/15,Nevada,$316.80 
3/31/15,Nevada,$319.41 
4/30/15,Nevada,$318.95 
5/31/15,Nevada,$321.40 
6/30/15,Nevada,$320.05 
7/31/15,Nevada,$318.57 
8/31/15,Nevada,$319.46 
9/30/15,Nevada,$323.14 
10/31/15,Nevada,$323.27 
11/30/15,Nevada,$323.78 
12/31/15,Nevada,$326.23 
1/31/15,New York,$314.55 
2/28/15,New York,$316.99 
3/31/15,New York,$316.68 
4/30/15,New York,$315.52 
5/31/15,New York,$319.09 
6/30/15,New York,$316.67 
7/31/15,New York,$311.61 
8/31/15,New York,$309.93 
9/30/15,New York,$320.15 
10/31/15,New York,$323.39 
11/30/15,New York,$319.80 
12/31/15,New York,$321.09 
1/31/15,Ohio,$339.68 
2/28/15,Ohio,$344.61 
3/31/15,Ohio,$345.56 
4/30/15,Ohio,$341.64 
