"","State","avg_weekly_ui_benefit"
"1","Arizona",222.815833333333
"2","Colorado",390.62
"3","Idaho",297.606666666667
"4","Illinois",338.033333333333
"5","Kentucky",306.379166666667
"6","Louisiana",215.393333333333
"7","Nevada",320.684166666667
"8","New Jersey",410.935833333333
"9","New York",317.1225
"10","Ohio",341.574166666667
"11","Oklahoma",366.77
"12","Oregon",349.536666666667
"13","Texas",383.995833333333
"14","Utah",370.7975
"15","Washington",418.808333333333
"16","West Virginia",301.243333333333
"17","Wisconsin",295.3825
