"","ince_bin","wt","pct_earn","inct_bin","wt","pct_inc","ince_bin","wt","pct_earn_ui","inct_bin","wt","pct_inc_ui"
"1",0,62126300.3908304,0.195477982766267,0,17323483.8127556,0.0545076666226428,0,283458.0279,0.0377659460936719,0,150871.429666667,0.0201010439608246
"2",10000,22904650.1692413,0.0720685890336902,10000,28048624.0304405,0.088253902298184,10000,682917.168475,0.0909870613372382,10000,452689.809783333,0.0603131937383804
"3",20000,25456684.4924837,0.0800984655645535,20000,31283302.7125156,0.098431692697601,20000,953871.0986975,0.127087049749849,20000,823347.961183333,0.109697068552788
"4",30000,25692009.3722354,0.0808389061267501,30000,30327394.2867122,0.0954239640929711,30000,937818.966686548,0.124948377027452,30000,869949.251803214,0.115905895455608
"5",40000,23374270.6594285,0.0735462316022963,40000,27416611.9808564,0.0862653010172533,40000,695244.136091667,0.0926294194597384,40000,790113.6595375,0.105269164874363
"6",50000,21828673.7755408,0.0686830712478002,50000,26982440.6385432,0.0848991978107789,50000,678788.345129167,0.0904369660689396,50000,703863.70855,0.0937778304298689
"7",60000,20987146.2708197,0.0660352377532842,60000,23757445.7944917,0.0747518772302693,60000,538887.3833875,0.0717975497901649,60000,635383.501708333,0.0846540112202812
"8",70000,17769566.4056185,0.0559112481147231,70000,20678357.0475396,0.0650636444974966,70000,492346.928029167,0.0655968281480252,70000,549294.738780833,0.0731841523347257
"9",80000,16280717.8494813,0.0512266441616905,80000,18180106.2725411,0.0572029958049334,80000,429030.935758333,0.0571610524224875,80000,499971.058358333,0.0666126134378461
"10",90000,13282801.0101883,0.0417938156726386,90000,15335960.430146,0.0482540017642949,90000,382119.8857,0.0509109553593499,90000,387416.8400875,0.0516166841592748
"11",1e+05,11248878.6452395,0.0353941582247912,1e+05,13075173.1610421,0.0411405227377325,1e+05,246601.582154167,0.0328554535119182,1e+05,244607.73615,0.0325898075491973
"12",110000,9634143.16098195,0.030313455958954,110000,10630636.9473208,0.0334488848186675,110000,226823.526354167,0.0302203650132289,110000,273577.255945833,0.0364495018082535
"13",120000,8052156.32552657,0.0253357960401726,120000,9265851.54495719,0.0291546407435404,120000,158728.366991667,0.0211478468108818,120000,201616.750191667,0.0268619921465269
"14",130000,6157698.56412259,0.0193749585316541,130000,7791895.71348557,0.0245168961682144,130000,132753.93975,0.017687197534902,130000,141133.716583333,0.0188036598291938
"15",140000,5122845.61487017,0.0161188340609067,140000,5763017.47162893,0.0181331098570784,140000,148363.612383333,0.0197669200941033,140000,162447.671508333,0.0216433806820619
"16",150000,4747715.90733289,0.0149385030570681,150000,5316042.96254912,0.0167267219853847,150000,104619.6758,0.0139387868668659,150000,103031.97475,0.013727252789982
"17",160000,3667246.1841575,0.0115388471851159,160000,4105812.95503314,0.0129187804362474,160000,78796.1273208333,0.0104982396118219,160000,104198.642583333,0.013882691374062
"18",170000,2998833.52894716,0.00943571281732013,170000,3615198.24931663,0.0113750803867417,170000,39343.9813916667,0.00524191426630649,170000,87707.6974458333,0.0116855542892155
"19",180000,2484682.5931131,0.00781795693708963,180000,2739860.02321844,0.00862086277520768,180000,42198.6746416667,0.00562225343747825,180000,34754.96955,0.00463050673228968
"20",190000,1790494.20066526,0.00563372021670237,190000,2088220.27105776,0.00657050369312267,190000,24804.5967,0.00330478931497382,190000,42993.6358916667,0.0057281684610762
"21",2e+05,12209865.1880087,0.0384178649265311,2e+05,14091944.0026815,0.0443397525616374,2e+05,228134.486458333,0.0303950280806033,2e+05,246679.435741667,0.0328658261741797
